700 850
183 186 39
215 393 40
486 492 45
521 562 49
90 459 50
126 640 45
72 436 47
168 467 39
282 530 35
223 267 49
229 602 33
558 269 39
393 56 46
142 29 48
621 119 50
437 398 32
415 470 47
26 91 38
456 373 41
270 596 40
205 125 41
327 136 35
446 529 40
357 124 33
282 45 47
667 634 44
443 350 37
108 376 44
88 284 30
51 554 31
432 60 35
168 539 31
326 286 48
539 95 37
234 378 38
201 497 50
17 392 43
456 501 32
286 41 30
489 244 38
40 129 33
417 297 41
381 75 45
327 67 40
397 453 45
665 106 38
319 124 37
171 32 41
3 319 33
668 108 47
640 149 48
123 18 49
146 551 34
455 179 31
464 28 43
150 693 43
334 464 48
514 87 38
343 91 47
365 59 37
632 151 44
328 275 32
474 421 44
695 329 34
435 93 47
628 243 33
228 29 50
104 543 46
13 338 44
240 4 46
28 88 36
117 417 36
224 343 36
183 490 50
472 225 43
90 305 32
554 686 48
82 242 50
397 407 30
104 648 32
22 128 50
243 246 38
40 622 38
410 105 31
561 30 37
105 120 47
44 126 33
165 208 49
282 58 44
37 162 32
100 336 41
99 579 40
668 71 33
331 481 31
333 494 40
163 599 35
299 96 33
573 413 39
390 695 41
66 184 33
390 284 33
142 536 43
445 656 31
518 287 41
148 72 30
509 236 32
442 687 30
501 13 36
221 555 50
699 621 32
639 311 41
367 605 36
127 350 48
658 320 40
422 469 35
681 430 38
292 172 47
150 125 39
422 499 34
142 498 44
198 590 33
690 409 48
319 536 42
55 494 31
79 369 45
176 350 46
660 642 41
584 93 34
521 667 50
313 261 35
26 459 37
202 602 32
284 221 36
168 428 46
372 508 30
498 136 30
353 248 48
533 133 41
290 654 34
546 268 30
600 446 48
697 649 34
503 233 36
297 553 31
586 225 47
696 175 50
457 529 46
160 514 30
260 104 32
327 650 32
656 2 44
197 699 49
339 502 42
3 100 35
247 138 49
451 135 35
639 592 30
527 204 47
549 464 44
129 243 43
677 200 46
271 549 36
667 188 42
595 343 42
529 590 33
140 341 33
626 432 44
242 260 36
523 261 45
209 390 30
696 367 32
334 90 49
124 57 41
568 105 35
412 86 49
546 226 39
116 152 42
429 546 34
247 370 36
680 31 46
657 27 47
286 514 31
312 90 39
679 110 37
689 674 32
41 520 39
587 88 43
166 670 43
156 217 33
560 349 50
105 459 41
18 45 42
173 358 41
537 489 46
307 478 48
314 671 48
0 559 32
538 25 30
374 333 49
581 193 39
270 299 43
139 469 40
522 94 46
447 631 31
482 390 38
491 157 42
321 157 34
391 147 43
431 521 32
140 554 50
198 125 46
16 416 37
31 239 47
404 138 40
18 621 45
262 412 39
477 185 35
4 576 42
407 459 30
444 599 45
127 250 44
260 418 32
163 449 47
311 305 50
391 475 41
314 189 34
393 118 42
82 122 31
617 530 33
274 426 31
486 553 50
274 114 39
479 277 33
375 588 42
410 432 48
517 46 32
337 591 31
343 673 47
225 591 50
18 317 42
563 255 43
658 530 45
471 461 33
185 289 45
204 151 50
150 668 38
285 306 42
539 649 41
367 326 49
177 496 45
565 360 41
655 470 30
311 242 35
396 579 30
370 84 34
227 234 37
283 672 40
230 663 38
150 330 49
114 659 33
547 524 36
535 632 49
354 243 44
86 640 43
259 462 36
583 141 37
23 424 49
622 654 33
621 257 48
247 371 47
369 218 47
303 53 35
7 559 45
106 97 39
84 508 30
298 391 39
198 415 48
71 489 50
606 410 34
224 109 39
500 478 38
53 81 40
238 89 45
667 347 37
487 431 35
222 181 39
250 379 41
154 450 45
13 357 41
281 581 45
220 533 41
681 587 50
496 125 34
322 92 45
397 32 33
281 406 46
557 108 48
699 262 34
83 276 34
577 9 39
632 382 48
466 363 31
382 311 37
386 85 37
190 483 39
576 216 46
292 225 42
539 225 45
536 460 32
343 337 49
182 421 39
555 188 50
115 570 33
653 408 41
583 50 39
697 627 30
669 371 45
49 210 30
239 198 42
310 693 48
390 176 43
152 31 35
277 299 45
166 252 31
141 135 33
598 284 30
176 405 37
528 454 49
8 693 49
497 455 43
74 145 35
225 297 43
412 27 48
621 193 34
539 334 48
659 385 36
554 561 35
272 541 34
352 550 47
82 499 33
354 573 30
406 251 45
490 663 37
172 37 47
259 28 45
480 687 38
590 541 45
252 265 40
369 617 44
83 151 44
100 506 42
567 364 48
632 154 44
175 479 46
612 38 32
136 670 47
44 560 47
514 265 39
126 86 38
439 169 43
552 421 43
690 289 41
531 373 35
335 548 36
177 613 32
198 49 35
55 93 34
56 60 33
323 186 33
658 77 34
445 81 35
190 223 37
300 54 30
564 542 47
59 19 35
444 369 35
251 576 49
619 633 32
4 256 34
175 366 47
667 112 44
29 302 35
531 602 38
7 618 48
183 677 37
272 573 50
562 125 38
397 196 39
141 353 41
374 680 30
685 648 37
530 129 50
598 660 44
324 119 39
441 302 43
180 26 35
289 40 41
123 438 40
193 31 36
520 405 30
513 391 48
70 221 30
629 271 45
543 595 31
224 488 45
186 669 48
569 410 47
530 533 35
687 179 38
649 699 35
439 664 48
330 186 43
349 115 48
481 111 47
33 487 38
587 673 47
619 542 31
144 524 37
259 663 34
253 612 31
105 504 30
499 134 34
415 635 43
53 569 47
287 602 37
462 489 45
605 560 32
611 157 32
603 416 30
621 122 34
243 379 39
528 178 45
300 45 50
187 99 45
489 386 31
426 148 42
336 206 34
392 117 44
121 20 33
666 94 48
423 337 35
684 317 32
531 617 47
465 256 41
269 45 50
522 471 35
169 259 38
376 652 35
40 225 32
272 191 33
627 66 39
112 50 49
324 33 43
186 499 34
694 68 37
341 42 38
137 363 31
290 39 37
13 231 39
457 504 32
446 583 43
225 695 35
321 472 46
334 658 34
56 652 30
372 446 35
611 583 42
561 325 32
616 339 40
44 96 45
667 694 47
657 219 47
150 692 50
376 479 50
553 535 36
98 207 48
537 270 48
640 284 44
83 200 38
609 396 34
239 363 36
604 473 50
264 623 34
549 451 44
639 304 40
286 402 50
379 391 38
507 484 49
261 19 46
353 628 36
694 319 41
481 223 50
487 639 48
638 488 30
20 580 40
486 318 34
63 698 38
610 505 46
42 66 37
525 572 40
553 566 30
548 347 41
316 286 30
159 377 35
503 335 50
407 398 41
154 461 40
234 503 42
484 328 33
663 333 37
460 181 39
85 497 38
197 108 35
249 13 46
334 516 38
585 375 50
286 530 49
492 216 34
369 152 38
666 115 48
433 28 33
547 113 32
400 462 40
629 163 40
8 497 38
575 382 34
140 120 37
318 65 41
299 434 32
608 553 43
3 286 48
432 134 40
110 534 40
596 615 47
396 624 48
165 651 36
461 243 45
587 561 40
381 160 31
479 220 45
693 224 45
235 108 39
42 370 34
463 266 33
500 115 32
334 432 37
550 193 49
339 80 43
193 613 42
482 544 32
623 538 30
351 73 38
365 268 37
213 183 35
677 135 45
364 469 50
307 472 31
340 111 39
387 457 43
593 239 42
320 314 46
271 118 33
634 483 35
667 697 35
267 674 30
133 490 36
432 249 39
223 590 50
247 429 38
335 322 44
268 643 44
39 366 48
36 453 46
452 420 43
504 687 36
540 121 49
497 5 44
378 228 44
370 627 39
120 263 40
260 683 44
167 23 32
192 211 30
153 663 43
262 468 37
498 460 44
676 409 42
403 87 31
173 457 42
523 29 44
344 442 49
412 609 49
147 254 50
334 559 32
242 273 43
138 71 39
458 199 49
84 55 36
90 380 44
23 203 38
220 0 32
552 412 38
207 559 33
225 194 32
358 436 46
260 26 39
73 637 47
448 21 46
209 263 48
32 286 42
433 658 33
27 510 39
231 169 39
141 546 49
458 205 44
501 465 48
67 690 34
532 438 32
505 100 43
157 132 35
561 17 43
569 197 40
138 428 49
418 570 42
192 480 42
554 433 45
243 500 34
21 485 31
520 290 38
34 447 50
383 461 30
142 330 45
563 620 40
454 338 34
192 530 31
134 385 43
694 80 39
544 102 32
284 622 40
125 657 40
402 492 37
696 86 36
640 649 48
312 556 36
554 48 40
28 182 33
88 176 50
497 20 33
294 305 45
382 582 35
369 436 30
117 584 37
